"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2024-11-08","851705715169048","saudi arabia","23.716667","44.116667","419387851957862","egypt","26.0","29.0","6693","travel counts"
"2024-11-08","1231810770328071","poland","52.0","19.0","419387851957862","egypt","26.0","29.0","1260","travel counts"
"2024-11-08","403586003810080","south africa","-29.0","24.0","731231627319111","zimbabwe","-19.016667","30.016667","1268","travel counts"
"2024-11-08","1237068956456866","kuwait","29.166667","47.6","419387851957862","egypt","26.0","29.0","1092","travel counts"
"2024-11-08","597585864063467","united arab emirates","23.783333","54.0","419387851957862","egypt","26.0","29.0","2562","travel counts"
"2024-11-08","1317763431707213","germany","51.0","10.0","419387851957862","egypt","26.0","29.0","1588","travel counts"
"2024-11-08","852597565113521","united kingdom","54.0","-2.0","419387851957862","egypt","26.0","29.0","2514","travel counts"
"2024-11-08","2282619438622633","austria","48.0","14.0","417045315510881","czech republic","50.0","16.0","6487","travel counts"
"2024-11-08","1231810770328071","poland","52.0","19.0","417045315510881","czech republic","50.0","16.0","7111","travel counts"
"2024-11-08","833225000389252","slovakia","49.0","20.0","417045315510881","czech republic","50.0","16.0","8721","travel counts"
"2024-11-08","362070071076950","netherlands","52.316666666667","5.55","417045315510881","czech republic","50.0","16.0","1021","travel counts"
"2024-11-08","2414720828591431","romania","46.0","25.0","417045315510881","czech republic","50.0","16.0","1151","travel counts"
"2024-11-08","1317763431707213","germany","51.0","10.0","417045315510881","czech republic","50.0","16.0","23369","travel counts"
"2024-11-08","680120905754069","france","47.0","2.0","417045315510881","czech republic","50.0","16.0","1751","travel counts"
"2024-11-08","616857608787515","hungary","47.0","19.0","417045315510881","czech republic","50.0","16.0","2342","travel counts"
"2024-11-08","852597565113521","united kingdom","54.0","-2.0","417045315510881","czech republic","50.0","16.0","2591","travel counts"
"2024-11-08","351886962112263","italy","43.0","12.0","417045315510881","czech republic","50.0","16.0","1957","travel counts"
"2024-11-08","2282619438622633","austria","48.0","14.0","321538001884900","bosnia and herzegovina","44.0","18.0","1970","travel counts"
"2024-11-08","400835317162981","croatia","45.25","15.466667","321538001884900","bosnia and herzegovina","44.0","18.0","5991","travel counts"
"2024-11-08","401821703703677","serbia","43.95","20.933333333333","321538001884900","bosnia and herzegovina","44.0","18.0","4093","travel counts"
"2024-11-08","793335024385721","japan","35.0","136.0","853970694951300","south korea","36.0","128.0","4307","travel counts"
"2024-11-08","343315869635106","philippines","11.333330555556","123.01666944444","853970694951300","south korea","36.0","128.0","2657","travel counts"
"2024-11-08","711084376012350","vietnam","14.016666666667","107.9","853970694951300","south korea","36.0","128.0","3501","travel counts"
"2024-11-08","463167797558589","taiwan","24.0","121.0","853970694951300","south korea","36.0","128.0","5189","travel counts"
"2024-11-08","384833669025234","slovenia","46.0","15.0","321538001884900","bosnia and herzegovina","44.0","18.0","1865","travel counts"
"2024-11-08","433497307408292","thailand","15.0","101.0","853970694951300","south korea","36.0","128.0","2591","travel counts"
"2024-11-08","1317763431707213","germany","51.0","10.0","321538001884900","bosnia and herzegovina","44.0","18.0","1380","travel counts"
"2024-11-08","937148070010051","united states","40.0","-100.0","853970694951300","south korea","36.0","128.0","1995","travel counts"
"2024-11-08","2214566348625267","costa rica","10.0","-84.0","334673967182748","nicaragua","13.091380555556","-86.000988888889","1779","travel counts"
